id,charter_num,date,donor_type,act_summary,arenga_type
1,1728,987,cleric,The priest and canon Grimald makes a donation,unique
2,1731,987,single,A certain Girbald makes a donation,C
3,1732 / A 193,987,cleric,The priest Raimbert makes a donation,A
4,1744 / A 70,987–988,single,A certain Evrardus makes a donation,B
5,1749 / A 758,990,family,A certain Guandrannus with the consent of his wife makes a donation,C
6,1751 / A 175,987–996,family,Arnaldus and his wife Odila make a donation,C
7,1769 / B 162,987–996,single,Ramnaldus makes a donation,unique
8,1784 / A 44,988,cleric,Richaudus clericus makes a donation,unique
9,1786 / A 136,988,cleric,Gerlannus the deacon (levita) and his brother Heldebert and his wife Odila make a donation,A
10,1792 / A 600,988,single,Aimo makes a donation,C
11,1806 / A 155,989,cleric,Berardus canonius et levita makes a donation,A
12,1814 / A 124,989-990,cleric,Adalardus sacerdos makes a donation,unique
13,1829 / A 609,990,single,Bernard makes a donation,C
14,1837 / A 6,993,comes,William comes makes a donation,D
15,1840 / B 517,990,family,Dodo and his wife Lanberga make a donation,A2
16,1845 / A 80,990–991,single,Maiolus makes a donation,A
17,1884 / A 473,991,cleric,Robert the presbyter makes a donation,E
18,1886 / A 216,991,family,Odila and her son Malguinus make a donation,E
19,1891 / A 107,991–992,single,Heldierius makes a donation,A
20,1892 / A 357,991–992,family,Adalgerius and his brother Maimbodus make a donation,E
21,1897 / A 145,991–992,single,Randefredus makes a donation,C2
22,1899 / A 296,991–992,cleric,Otgerius and Manuel presbyters along with one helemosinarius Hubert make a donation,A
23,1909 / A 282,992,single,Adalgerius makes a donation,A2
24,1911 / A 166,992,family,Azelinus vuadiator and his brother Arnulf make a donation,G
25,1913 / A 223,992,single,Aldulf makes a donation,J
26,1916 / A 162,992,group,Arlieus and Eva vuadii of Ademar make a donation,G
27,1920 / A 150,992,single,Adam makes a donation,unique
28,1922 / A 406,992,single,Ingelgardus at the urging of his uadiatores Hugh and Girard makes a donation,H
29,1927 / A 487,992,single,Girard makes a donation,C
30,1933 / A 16,992 – 993,family,Land is shared between the monks of Cluny and one Engela and her sons,unique
31,1937 / A 221,992 – 993,single,Malguin makes a donation,A
32,1940 / B 457,994–996,single,Girbert makes a donation,A
33,1941 / A 756,993,family,Aioardus with the consent of his wife Fredeburga and his son Robert makes a donation,H
34,1942 / A 218,993,single,Girbald makes a donation,C
35,1944 / A 148,993,family,Ratherius and his wife Berta make a donation,B
36,1947 / A 9,993,cleric,Walter bishop Eduensis/Aeduensis makes a donation,I
37,1948 / B 757,993,family,Martin and his wife Gunteld and their sons Martin and Duran make a donation,A2
38,1952 / A 810,993,family,Vuidradus and his wife Dominica make a donation,A3
39,1959 / A 159,993,family,Milo makes a donation for the soul of his wife Ermengard,B
40,1963 / B 599,993,family,Humbert and his wife Girbergia make a donation,B
41,1966 / A 229,993 – 994,single,Wido and his wife Odila make a donation,A3
42,1976 / B 159,993–996,single,Isembrannus makes a donation,J
43,1982 / B 308 ,993–996,group,Adalbert Presbyter Otbert and Ermenald make a donation,A3
44,1984 / B 47,999-1011,cleric,Hugo bishop of Geneva makes a donation,unique
45,1999 / B 453,c. 1000,single,Hugh makes a donation,H
46,2000 / B 643,995,single,Wigo makes a donation,A3
47,2001 / B 780,994–1016,cleric,Eldinus the priest makes a donation,A3
48,2003 / B 695,c. 1000,single,Otgerius makes a donation,J
49,2005 / B 54,c. 1000 ,single,Humbertus makes a donation,unique
50,2012 / B 70,993–1048,single,Wandalmodis makes a donation,unique
